abbr,state,female,male,average,coder
AL,Alabama,85.8,82.3,84.05,2
AK,Alaska,85.6,82.4,84,2
AZ,Arizona,85.8,82.7,84.25,2
AR,Arkansas,85.6,82.1,83.85,1
CA,California,85,82.3,83.65,1
CO,Colorado,86.5,84,85.25,3
CT,Connecticut,86.3,83.2,84.75,2
DE,Delaware,85.9,82.8,84.35,2
DC,District Of Columbia,85.9,82.7,84.3,2
FL,Florida,85.9,82.4,84.15,2
GA,Georgia,85.8,82.3,84.05,2
HI,Hawaii,83.3,81.5,82.4,0
ID,Idaho,86.8,84.5,85.65,3
IL,Illinois,85.4,82.2,83.8,1
IN,Indiana,85.6,82.4,84,2
IA,Iowa,86.7,83.6,85.15,3
KS,Kansas,86.1,83,84.55,2
KY,Kentucky,85.6,82.7,84.15,2
LA,Louisiana,85.5,82.3,83.9,1
ME,Maine,86.9,84.1,85.5,3
MD,Maryland,85.6,82.3,83.95,1
MA,Massachusetts,86.3,83.2,84.75,2
MI,Michigan,86.2,82.8,84.5,2
MN,Minnesota,87.1,84.4,85.75,3
MS,Mississippi,85.6,82,83.8,1
MO,Missouri,86.1,82.8,84.45,2
MT,Montana,87.1,85,86.05,3
NE,Nebraska,86.9,83.6,85.25,3
NV,Nevada,83.7,81.2,82.45,0
NH,New Hampshire,86.7,83.3,85,3
NJ,New Jersey,85.2,82.1,83.65,1
NM,New Mexico,85.5,83,84.25,2
NY,New York,85.8,82.9,84.35,2
NC,North Carolina,86.2,82.8,84.5,2
ND,North Dakota,86.9,84.4,85.65,3
OH,Ohio,85.8,82.9,84.35,2
OK,Oklahoma,85.3,82.1,83.7,1
OR,Oregon,86.4,84,85.2,3
PA,Pennsylvania,86.2,83.1,84.65,2
RI,Rhode Island,86.9,83.4,85.15,3
SC,South Carolina,86.1,82.9,84.5,2
SD,South Dakota,87.1,84.1,85.6,3
TN,Tennessee,85.9,82.7,84.3,2
TX,Texas,85,81.7,83.35,1
UT,Utah,86.7,84.5,85.6,3
VT,Vermont,86.9,84.6,85.75,3
VA,Virginia,85.8,82.8,84.3,2
WA,Washington,86,83.7,84.85,2
WV,West Virginia,85.8,83,84.4,2
WI,Wisconsin,86.5,83.7,85.1,3
WY,Wyoming,86,83.2,84.6,2
